class,app,p,pf,qf,vf
1,2,0.033373,0.56117,0.54609,0.43256
1,2,0.062663,0.53403,0.84433,0.079502
1,2,0.064398,0.54412,0.8378,0.081666
1,2,0.064979,0.54672,0.83603,0.08203
1,2,0.064921,0.54727,0.83564,0.084882
1,2,0.065004,0.54854,0.83484,0.083122
1,2,0.065002,0.54852,0.83505,0.081492
1,2,0.065208,0.5489,0.83472,0.080985
1,2,0.064998,0.54852,0.83476,0.081301
1,2,0.064557,0.5477,0.83558,0.08077
1,2,0.064078,0.54555,0.83698,0.080737
1,2,0.063659,0.54255,0.83903,0.080564
1,2,0.063431,0.54145,0.83962,0.079981
1,2,0.063157,0.54062,0.8401,0.079505
1,2,0.062828,0.53959,0.84101,0.078699
1,2,0.062289,0.53681,0.8426,0.078918
1,2,0.057133,0.5419,0.83603,0.095068
1,2,0.064004,0.56351,0.82328,0.090233
1,2,0.05941,0.53846,0.84146,0.086718
1,2,0.061227,0.54645,0.83628,0.086765
1,2,0.067486,0.55828,0.82829,0.082765
1,2,0.066705,0.55402,0.83131,0.081966
1,2,0.066509,0.55353,0.83149,0.082214
1,2,0.066969,0.55685,0.82933,0.081956
1,2,0.067464,0.55883,0.82811,0.081869
1,2,0.067545,0.55976,0.82752,0.08187
1,2,0.06751,0.55911,0.82762,0.082403
1,2,0.067376,0.55806,0.82833,0.082495
1,2,0.067055,0.55621,0.8297,0.081996
1,2,0.067148,0.55794,0.82866,0.082339
1,2,0.067209,0.55773,0.82879,0.082261
1,2,0.067397,0.55859,0.82814,0.081987
1,2,0.067649,0.55913,0.82775,0.082403
1,2,0.067401,0.55798,0.82858,0.082015
1,2,0.066885,0.55441,0.83094,0.081295
1,2,0.066947,0.55549,0.83043,0.080758
1,2,0.066999,0.55506,0.83051,0.081853
1,2,0.067198,0.55626,0.82979,0.081813
1,2,0.0671,0.55293,0.8319,0.082023
1,2,0.066456,0.55787,0.82865,0.080766
1,2,0.066217,0.55812,0.82841,0.08001
1,2,0.066018,0.55705,0.82928,0.079784
1,2,0.06622,0.55794,0.8287,0.080126
1,2,0.066088,0.55675,0.82946,0.079758
1,2,0.065986,0.55546,0.83018,0.080107
1,2,0.065442,0.55369,0.83149,0.079606
1,2,0.065374,0.55242,0.83248,0.079015
1,2,0.065245,0.55115,0.83323,0.079693
1,2,0.065476,0.5516,0.83299,0.078957
1,2,0.065323,0.55112,0.83321,0.079223
1,2,0.065223,0.55117,0.83329,0.079405
1,2,0.064769,0.54949,0.83428,0.079005
1,2,0.064565,0.5484,0.83509,0.079027
1,2,0.064414,0.5482,0.83522,0.078559
1,2,0.06459,0.54826,0.83522,0.07866
1,2,0.064549,0.54707,0.83592,0.078658
1,2,0.064485,0.54574,0.83681,0.078367
1,2,0.063857,0.54224,0.83907,0.077995
1,2,0.063653,0.54148,0.83959,0.079076
1,2,0.063597,0.54125,0.83976,0.077866
1,2,0.063807,0.54163,0.83953,0.078411
1,2,0.063547,0.53984,0.84073,0.078185
1,2,0.063331,0.53855,0.84148,0.077725
1,2,0.062438,0.53313,0.845,0.076702
1,2,0.062001,0.53048,0.84675,0.076383
1,2,0.061958,0.52994,0.84708,0.076073
1,2,0.061909,0.52948,0.84732,0.076131
1,2,0.038571,0.58459,0.79653,0.15792
1,2,0.062887,0.55635,0.65375,0.29457
1,2,0.062624,0.53401,0.84448,0.076699
1,2,0.063934,0.54092,0.83994,0.077824
1,2,0.064581,0.54481,0.83744,0.079031
1,2,0.064454,0.54348,0.83825,0.079229
1,2,0.064564,0.54394,0.83795,0.079089
1,2,0.064442,0.54175,0.83947,0.078673
1,2,0.064595,0.54242,0.83903,0.078647
1,2,0.064344,0.54186,0.83937,0.078363
1,2,0.063959,0.53969,0.84079,0.078117
1,2,0.063328,0.53442,0.84418,0.078151
1,2,0.062822,0.53073,0.84651,0.078161
1,2,0.062772,0.53129,0.84613,0.077412
1,2,0.062489,0.52987,0.8471,0.077079
1,2,0.062292,0.52827,0.84811,0.077171
1,2,0.061761,0.52445,0.85045,0.0762
1,2,0.04523,0.55745,0.48667,0.49388
1,2,0.062027,0.53692,0.84255,0.077395
1,2,0.062899,0.54106,0.83981,0.077902
1,2,0.063869,0.54704,0.83592,0.078609
1,2,0.064267,0.54982,0.83414,0.0787
1,2,0.064234,0.54956,0.83423,0.078752
1,2,0.063783,0.5467,0.8362,0.078617
1,2,0.06391,0.54641,0.83642,0.078018
1,2,0.063203,0.54348,0.83838,0.077485
1,2,0.063336,0.54518,0.83719,0.07726
1,2,0.063059,0.54286,0.83868,0.077409
1,2,0.062791,0.54131,0.83976,0.077592
