class_name
Fridge (compressor)
Microwave
Water Purifier
Notebook
Wave Music System
Television
Blender
Television (LCD)
Washing Machine
Hair Dryer
Fluorescent Lamp
Desktop Computer
Electric Oven
Computer Monitor LCD-LED-Tube
LED Lamp
Electric Iron
Incandescent Lamp
Electric Frier
Air Conditioner
Fridge (defrost resistance)
Split Air Conditioner (Inverter)
